index,artist,title,medium,year,width,height,gender,artistBirthYear,acquisitionYear,url
17255,"Green, Anthony",Casimir Dupont,Oil paint on board,1980,2.172,2.169,Male,1939,1981,http://www.tate.org.uk/art/artworks/green-casimir-dupont-t03259
17256,"Green, Anthony","L'Heure du The, Argenton-sur-Creuse",Oil paint on board,1980,1.994,2.21,Male,1939,1981,http://www.tate.org.uk/art/artworks/green-lheure-du-the-argenton-sur-creuse-t03295
17257,"Guston, Philip",Door,Lithograph on paper,1980,0.495,0.749,Male,1913,1983,http://www.tate.org.uk/art/artworks/guston-door-p07999
17258,"Guston, Philip",Room,Lithograph on paper,1980,0.73,1.016,Male,1913,1984,http://www.tate.org.uk/art/artworks/guston-room-p11072
17259,"Guston, Philip",East Side,Lithograph on paper,1980,0.762,1.01,Male,1913,1984,http://www.tate.org.uk/art/artworks/guston-east-side-p11073
17260,"Guston, Philip",Rug,Lithograph on paper,1980,0.495,0.736,Male,1913,1984,http://www.tate.org.uk/art/artworks/guston-rug-p11074
17261,"Guston, Philip",Summer,Lithograph on paper,1980,0.464,0.73,Male,1913,1984,http://www.tate.org.uk/art/artworks/guston-summer-p11075
17262,"Guston, Philip",Sea,Lithograph on paper,1980,0.584,0.99,Male,1913,1984,http://www.tate.org.uk/art/artworks/guston-sea-p11076
17263,"Guston, Philip",Car,Lithograph on paper,1980,0.463,0.762,Male,1913,1984,http://www.tate.org.uk/art/artworks/guston-car-p11077
17264,"Guston, Philip",Elements,Lithograph on paper,1980,0.679,0.99,Male,1913,1984,http://www.tate.org.uk/art/artworks/guston-elements-p11078
17265,"Guston, Philip",Coat,Lithograph on paper,1980,0.604,0.959,Male,1913,1984,http://www.tate.org.uk/art/artworks/guston-coat-p11079
